Date,Rank,Title,Artist
2023-07-08,34,Eyes Closed,Ed Sheeran
2023-07-08,35,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
2023-07-08,36,Search & Rescue,Drake
2023-07-08,37,Thought You Should Know,Morgan Wallen
2023-07-08,38,Where She Goes,Bad Bunny
2023-07-08,39,Parade On Cleveland,Young Thug Featuring Drake
2023-07-08,40,Dancin' In The Country,Tyler Hubbard
2023-07-08,41,Put It On Da Floor Again,Latto Featuring Cardi B
2023-07-08,42,Area Codes,Kaliii
2023-07-08,43,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
2023-07-08,44,Bury Me In Georgia,Kane Brown
2023-07-08,45,Love You Anyway,Luke Combs
2023-07-08,46,TQM,Fuerza Regida
2023-07-08,47,Thank God,Kane Brown With Katelyn Brown
2023-07-08,48,Bye,Peso Pluma
2023-07-08,49,One Thing At A Time,Morgan Wallen
2023-07-08,50,Players,Coi Leray
2023-07-08,51,Stand By Me,Lil Durk Featuring Morgan Wallen
2023-07-08,52,Cars Bring Me Out,Young Thug Featuring Future
2023-07-08,53,Princess Diana,Ice Spice & Nicki Minaj
2023-07-08,54,VVS,"Peso Pluma, Edgardo Nunez & Los Dareyes de La Sierra"
2023-07-08,55,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
2023-07-08,56,Wit Da Racks,"Young Thug Featuring 21 Savage, Travis Scott & Yak Gotti"
2023-07-08,57,Daylight,David Kushner
2023-07-08,58,Doomsday.,Juice WRLD & Cordae
2023-07-08,59,Want Me Dead,Young Thug Featuring 21 Savage
2023-07-08,60,Attention,Doja Cat
2023-07-08,61,Peaches & Eggplants,Young Nudy Featuring 21 Savage
2023-07-08,62,What It Is (Block Boy),Doechii Featuring Kodak Black
2023-07-08,63,Rubicon,Peso Pluma
2023-07-08,64,Back To The Moon,Gunna
2023-07-08,65,Your Heart Or Mine,Jon Pardi
2023-07-08,66,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
2023-07-08,67,"You, Me, & Whiskey",Justin Moore & Priscilla Block
2023-07-08,68,Waffle House,Jonas Brothers
2023-07-08,69,Mourning,Post Malone
2023-07-08,70,Hellcat Kenny,Young Thug Featuring Lil Uzi Vert
2023-07-08,71,TQG,Karol G x Shakira
2023-07-08,72,PRC,Peso Pluma X Natanael Cano
2023-07-08,73,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
2023-07-08,74,See You Again,"Tyler, The Creator Featuring Kali Uchis"
2023-07-08,75,Popular,"The Weeknd, Playboi Carti & Madonna"
2023-07-08,76,Por Las Noches,Peso Pluma
2023-07-08,77,Dial Drunk,Noah Kahan With Post Malone
2023-07-08,78,Money On The Dresser,Young Thug
2023-07-08,79,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset"
2023-07-08,80,El Azul,Junior H x Peso Pluma
2023-07-08,81,Uncle M,Young Thug
2023-07-08,82,Cowgirls,Morgan Wallen Featuring ERNEST
2023-07-08,83,Rodeo Dr,Gunna
2023-07-08,84,Fight The Feeling,Rod Wave
2023-07-08,85,Self Love,Metro Boomin & Coi Leray
2023-07-08,86,Nueva Vida,Peso Pluma
2023-07-08,87,Fragil,Yahritza y Su Esencia x Grupo Frontera
2023-07-08,88,Bread & Butter,Gunna
2023-07-08,89,Watermelon Moonshine,Lainey Wilson
2023-07-08,90,Lagunas,Peso Pluma & Jasiel Nunez
2023-07-08,91,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
2023-07-08,92,Ain't That Some,Morgan Wallen
2023-07-08,93,Rosa Pastel,Peso Pluma & Jasiel Nunez
2023-07-08,94,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
2023-07-08,95,ICU,Coco Jones
2023-07-08,96,Jaded,Miley Cyrus
2023-07-08,97,Abracadabra,Young Thug Featuring Travis Scott
2023-07-08,98,Truck Bed,HARDY
2023-07-08,99,Save Me,Jelly Roll With Lainey Wilson
2023-07-08,100,Gucci Grocery Bag,Young Thug
2023-07-15,1,Vampire,Olivia Rodrigo
2023-07-15,2,Last Night,Morgan Wallen
2023-07-15,3,Fast Car,Luke Combs
2023-07-15,4,Calm Down,Rema & Selena Gomez
2023-07-15,5,Flowers,Miley Cyrus
2023-07-15,6,All My Life,Lil Durk Featuring J. Cole
2023-07-15,7,Cruel Summer,Taylor Swift
2023-07-15,8,Fukumean,Gunna
2023-07-15,9,Karma,Taylor Swift Featuring Ice Spice
2023-07-15,10,Favorite Song,Toosii
2023-07-15,11,Flooded The Face,Lil Uzi Vert
2023-07-15,12,Kill Bill,SZA
2023-07-15,13,Snooze,SZA
2023-07-15,14,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-07-15,15,Ella Baila Sola,Eslabon Armado X Peso Pluma
2023-07-15,16,Sure Thing,Miguel
2023-07-15,17,Need A Favor,Jelly Roll
2023-07-15,18,Anti-Hero,Taylor Swift
2023-07-15,19,Something In The Orange,Zach Bryan
2023-07-15,20,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
2023-07-15,21,You Proof,Morgan Wallen
2023-07-15,22,Die For You,The Weeknd & Ariana Grande
2023-07-15,23,Thinkin' Bout Me,Morgan Wallen
2023-07-15,24,Cupid,Fifty Fifty
2023-07-15,25,Suicide Doors,Lil Uzi Vert
2023-07-15,26,La Bebe,Yng Lvcas x Peso Pluma
2023-07-15,27,Memory Lane,Old Dominion
2023-07-15,28,Next Thing You Know,Jordan Davis
2023-07-15,29,Dance The Night,Dua Lipa
2023-07-15,30,Religiously,Bailey Zimmerman
2023-07-15,31,Aye,Lil Uzi Vert Featuring Travis Scott
2023-07-15,32,Un x100to,Grupo Frontera X Bad Bunny
2023-07-15,33,Thought You Should Know,Morgan Wallen
2023-07-15,34,Eyes Closed,Ed Sheeran
2023-07-15,35,Barbie World,Nicki Minaj & Ice Spice With Aqua
2023-07-15,36,I'm Good (Blue),David Guetta & Bebe Rexha
2023-07-15,37,Dancin' In The Country,Tyler Hubbard
2023-07-15,38,Search & Rescue,Drake
2023-07-15,39,Where She Goes,Bad Bunny
2023-07-15,40,Chemical,Post Malone
2023-07-15,41,Put It On Da Floor Again,Latto Featuring Cardi B
2023-07-15,42,Sabor Fresa,Fuerza Regida
2023-07-15,43,Tulum,Peso Pluma & Grupo Frontera
2023-07-15,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
2023-07-15,45,Bury Me In Georgia,Kane Brown
2023-07-15,46,Area Codes,Kaliii
2023-07-15,47,Love You Anyway,Luke Combs
2023-07-15,48,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
2023-07-15,49,I Gotta,Lil Uzi Vert
2023-07-15,50,Party In The U.S.A.,Miley Cyrus
2023-07-15,51,Spin Again,Lil Uzi Vert
2023-07-15,52,Crush Em,Lil Uzi Vert
2023-07-15,53,X2,Lil Uzi Vert
2023-07-15,54,TQM,Fuerza Regida
2023-07-15,55,Princess Diana,Ice Spice & Nicki Minaj
2023-07-15,56,Oh U Went,Young Thug Featuring Drake
2023-07-15,57,Mojabi Ghost,Tainy & Bad Bunny
2023-07-15,58,Stand By Me,Lil Durk Featuring Morgan Wallen
2023-07-15,59,Luna,Peso Pluma & Junior H
2023-07-15,60,Pluto To Mars,Lil Uzi Vert
2023-07-15,61,Bye,Peso Pluma
2023-07-15,62,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
2023-07-15,63,Peaches & Eggplants,Young Nudy Featuring 21 Savage
2023-07-15,64,Your Heart Or Mine,Jon Pardi
2023-07-15,65,"Mama, I'm Sorry",Lil Uzi Vert
2023-07-15,66,What It Is (Block Boy),Doechii Featuring Kodak Black
2023-07-15,67,Amped,Lil Uzi Vert
2023-07-15,68,"You, Me, & Whiskey",Justin Moore & Priscilla Block
2023-07-15,69,Daylight,David Kushner
2023-07-15,70,Patience,Lil Uzi Vert Featuring Don Toliver
2023-07-15,71,Nakamura,Lil Uzi Vert
2023-07-15,72,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
2023-07-15,73,TQG,Karol G x Shakira
2023-07-15,74,Popular,"The Weeknd, Playboi Carti & Madonna"
2023-07-15,75,Mourning,Post Malone
2023-07-15,76,All Alone,Lil Uzi Vert
2023-07-15,77,Rubicon,Peso Pluma
2023-07-15,78,Died And Came Back,Lil Uzi Vert
2023-07-15,79,Por Las Noches,Peso Pluma
2023-07-15,80,Attention,Doja Cat
2023-07-15,81,Werewolf,Lil Uzi Vert Featuring Bring Me The Horizon
2023-07-15,82,El Azul,Junior H x Peso Pluma
2023-07-15,83,Everything I Love,Morgan Wallen
2023-07-15,84,Cowgirls,Morgan Wallen Featuring ERNEST
2023-07-15,85,Waffle House,Jonas Brothers
2023-07-15,86,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
2023-07-15,87,Watermelon Moonshine,Lainey Wilson
2023-07-15,88,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
2023-07-15,89,Fragil,Yahritza y Su Esencia x Grupo Frontera
2023-07-15,90,See You Again,"Tyler, The Creator Featuring Kali Uchis"
2023-07-15,91,Truck Bed,HARDY
2023-07-15,92,Zoom,Lil Uzi Vert
2023-07-15,93,That Fiya,Lil Uzi Vert
2023-07-15,94,We Didn't Start The Fire,Fall Out Boy
2023-07-15,95,Fight The Feeling,Rod Wave
2023-07-15,96,Ain't That Some,Morgan Wallen
2023-07-15,97,Lagunas,Peso Pluma & Jasiel Nunez
2023-07-15,98,Dial Drunk,Noah Kahan With Post Malone
2023-07-15,99,Save Me,Jelly Roll With Lainey Wilson
2023-07-15,100,Jaded,Miley Cyrus
2023-07-22,1,Last Night,Morgan Wallen
2023-07-22,2,Fast Car,Luke Combs
2023-07-22,3,Vampire,Olivia Rodrigo
2023-07-22,4,Calm Down,Rema & Selena Gomez
2023-07-22,5,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
2023-07-22,6,Flowers,Miley Cyrus
2023-07-22,7,Fukumean,Gunna
2023-07-22,8,All My Life,Lil Durk Featuring J. Cole
2023-07-22,9,Cruel Summer,Taylor Swift
2023-07-22,10,Karma,Taylor Swift Featuring Ice Spice
2023-07-22,11,Kill Bill,SZA
2023-07-22,12,Snooze,SZA
2023-07-22,13,Favorite Song,Toosii
2023-07-22,14,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-07-22,15,Mine (Taylor's Version),Taylor Swift
2023-07-22,16,Back To December (Taylor's Version),Taylor Swift
2023-07-22,17,Need A Favor,Jelly Roll
2023-07-22,18,Sure Thing,Miguel
2023-07-22,19,Enchanted (Taylor's Version),Taylor Swift
2023-07-22,20,Anti-Hero,Taylor Swift
2023-07-22,21,Something In The Orange,Zach Bryan
2023-07-22,22,Sparks Fly (Taylor's Version),Taylor Swift
2023-07-22,23,Ella Baila Sola,Eslabon Armado X Peso Pluma
2023-07-22,24,Die For You,The Weeknd & Ariana Grande
2023-07-22,25,You Proof,Morgan Wallen
2023-07-22,26,Dear John (Taylor's Version),Taylor Swift
2023-07-22,27,Cupid,Fifty Fifty
2023-07-22,28,Better Than Revenge (Taylor's Version),Taylor Swift
2023-07-22,29,Religiously,Bailey Zimmerman
2023-07-22,30,Thinkin' Bout Me,Morgan Wallen
2023-07-22,31,Castles Crumbling (Taylor's Version) (From The Vault),Taylor Swift Featuring Hayley Williams
2023-07-22,32,Dance The Night,Dua Lipa
2023-07-22,33,Speak Now (Taylor's Version),Taylor Swift
2023-07-22,34,When Emma Falls In Love (Taylor's Version) (From The Vault),Taylor Swift
2023-07-22,35,Electric Touch (Taylor's Version) (From The Vault),Taylor Swift Featuring Fall Out Boy
2023-07-22,36,Eyes Closed,Ed Sheeran
2023-07-22,37,La Bebe,Yng Lvcas x Peso Pluma
2023-07-22,38,Next Thing You Know,Jordan Davis
2023-07-22,39,Mean (Taylor's Version),Taylor Swift
2023-07-22,40,Foolish One (Taylor's Version) (From The Vault),Taylor Swift
2023-07-22,41,Memory Lane,Old Dominion
2023-07-22,42,The Story Of Us (Taylor's Version),Taylor Swift
2023-07-22,43,Search & Rescue,Drake
2023-07-22,44,Un x100to,Grupo Frontera X Bad Bunny
2023-07-22,45,Thought You Should Know,Morgan Wallen
2023-07-22,46,Dancin' In The Country,Tyler Hubbard
2023-07-22,47,I'm Good (Blue),David Guetta & Bebe Rexha
2023-07-22,48,Timeless (Taylor's Version) (From The Vault),Taylor Swift
2023-07-22,49,Barbie World,Nicki Minaj & Ice Spice With Aqua
2023-07-22,50,Haunted (Taylor's Version),Taylor Swift
2023-07-22,51,Where She Goes,Bad Bunny
2023-07-22,52,Bury Me In Georgia,Kane Brown
2023-07-22,53,Long Live (Taylor's Version),Taylor Swift
2023-07-22,54,Put It On Da Floor Again,Latto Featuring Cardi B
2023-07-22,55,Chemical,Post Malone
2023-07-22,56,Love You Anyway,Luke Combs
2023-07-22,57,Last Kiss (Taylor's Version),Taylor Swift
2023-07-22,58,Never Grow Up (Taylor's Version),Taylor Swift
2023-07-22,59,Sabor Fresa,Fuerza Regida
2023-07-22,60,Flooded The Face,Lil Uzi Vert
2023-07-22,61,Area Codes,Kaliii
2023-07-22,62,Tulum,Peso Pluma & Grupo Frontera
2023-07-22,63,Innocent (Taylor's Version),Taylor Swift
2023-07-22,64,Princess Diana,Ice Spice & Nicki Minaj
2023-07-22,65,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
2023-07-22,66,Super Shy,NewJeans
2023-07-22,67,What It Is (Block Boy),Doechii Featuring Kodak Black
2023-07-22,68,TQM,Fuerza Regida
2023-07-22,69,Ours (Taylor's Version),Taylor Swift
2023-07-22,70,Peaches & Eggplants,Young Nudy Featuring 21 Savage
2023-07-22,71,Stand By Me,Lil Durk Featuring Morgan Wallen
2023-07-22,72,Your Heart Or Mine,Jon Pardi
2023-07-22,73,Daylight,David Kushner
2023-07-22,74,Superman (Taylor's Version),Taylor Swift
2023-07-22,75,"You, Me, & Whiskey",Justin Moore & Priscilla Block
2023-07-22,76,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
2023-07-22,77,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
2023-07-22,78,Oh U Went,Young Thug Featuring Drake
2023-07-22,79,Mourning,Post Malone
2023-07-22,80,Popular,"The Weeknd, Playboi Carti & Madonna"
2023-07-22,81,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
2023-07-22,82,Point Me 2,FendiDa Rappa With Cardi B
2023-07-22,83,Watermelon Moonshine,Lainey Wilson
2023-07-22,84,Bye,Peso Pluma
2023-07-22,85,Luna,Peso Pluma & Junior H
2023-07-22,86,Shake Sumn,DaBaby
2023-07-22,87,Everything I Love,Morgan Wallen
2023-07-22,88,TQG,Karol G x Shakira
2023-07-22,89,Por Las Noches,Peso Pluma
2023-07-22,90,LaLa,Myke Towers
2023-07-22,91,Fragil,Yahritza y Su Esencia x Grupo Frontera
2023-07-22,92,Lagunas,Peso Pluma & Jasiel Nunez
2023-07-22,93,Rubicon,Peso Pluma
2023-07-22,94,El Azul,Junior H x Peso Pluma
2023-07-22,95,Cowgirls,Morgan Wallen Featuring ERNEST
2023-07-22,96,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
2023-07-22,97,See You Again,"Tyler, The Creator Featuring Kali Uchis"
2023-07-22,98,Fight The Feeling,Rod Wave
2023-07-22,99,Mojabi Ghost,Tainy & Bad Bunny
2023-07-22,100,Waffle House,Jonas Brothers
2023-07-29,1,Seven,Jung Kook Featuring Latto
2023-07-29,2,Try That In A Small Town,Jason Aldean
2023-07-29,3,Last Night,Morgan Wallen
2023-07-29,4,Fast Car,Luke Combs
2023-07-29,5,Calm Down,Rema & Selena Gomez
2023-07-29,6,Fukumean,Gunna
2023-07-29,7,Vampire,Olivia Rodrigo
2023-07-29,8,Cruel Summer,Taylor Swift
2023-07-29,9,Flowers,Miley Cyrus
2023-07-29,10,All My Life,Lil Durk Featuring J. Cole
2023-07-29,11,Karma,Taylor Swift Featuring Ice Spice
2023-07-29,12,Snooze,SZA
2023-07-29,13,Kill Bill,SZA
2023-07-29,14,Need A Favor,Jelly Roll
2023-07-29,15,Favorite Song,Toosii
2023-07-29,16,Sure Thing,Miguel
2023-07-29,17,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-07-29,18,Something In The Orange,Zach Bryan
2023-07-29,19,Anti-Hero,Taylor Swift
2023-07-29,20,Ella Baila Sola,Eslabon Armado X Peso Pluma
2023-07-29,21,Die For You,The Weeknd & Ariana Grande
2023-07-29,22,Thinkin' Bout Me,Morgan Wallen
2023-07-29,23,You Proof,Morgan Wallen
2023-07-29,24,Cupid,Fifty Fifty
2023-07-29,25,Dance The Night,Dua Lipa
2023-07-29,26,Religiously,Bailey Zimmerman
2023-07-29,27,Barbie World,Nicki Minaj & Ice Spice With Aqua
2023-07-29,28,Next Thing You Know,Jordan Davis
2023-07-29,29,La Bebe,Yng Lvcas x Peso Pluma
2023-07-29,30,Thought You Should Know,Morgan Wallen
2023-07-29,31,I'm Good (Blue),David Guetta & Bebe Rexha
2023-07-29,32,Un x100to,Grupo Frontera X Bad Bunny
2023-07-29,33,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
2023-07-29,34,What Was I Made For?,Billie Eilish
2023-07-29,35,Search & Rescue,Drake
2023-07-29,36,Dancin' In The Country,Tyler Hubbard
2023-07-29,37,Eyes Closed,Ed Sheeran
2023-07-29,38,Memory Lane,Old Dominion
2023-07-29,39,Dial Drunk,Noah Kahan With Post Malone
2023-07-29,40,Bury Me In Georgia,Kane Brown
2023-07-29,41,Love You Anyway,Luke Combs
2023-07-29,42,Put It On Da Floor Again,Latto Featuring Cardi B
2023-07-29,43,Chemical,Post Malone
2023-07-29,44,Where She Goes,Bad Bunny
2023-07-29,45,Sabor Fresa,Fuerza Regida
2023-07-29,46,Area Codes,Kaliii
2023-07-29,47,Overdrive,Post Malone
2023-07-29,48,LaLa,Myke Towers
2023-07-29,49,Princess Diana,Ice Spice & Nicki Minaj
2023-07-29,50,Tulum,Peso Pluma & Grupo Frontera
2023-07-29,51,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
2023-07-29,52,Peaches & Eggplants,Young Nudy Featuring 21 Savage
2023-07-29,53,Your Heart Or Mine,Jon Pardi
2023-07-29,54,What It Is (Block Boy),Doechii Featuring Kodak Black
2023-07-29,55,Mourning,Post Malone
2023-07-29,56,TQM,Fuerza Regida
2023-07-29,57,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
2023-07-29,58,"You, Me, & Whiskey",Justin Moore & Priscilla Block
2023-07-29,59,Stand By Me,Lil Durk Featuring Morgan Wallen
2023-07-29,60,Watermelon Moonshine,Lainey Wilson
2023-07-29,61,Daylight,David Kushner
2023-07-29,62,ICU,Coco Jones
2023-07-29,63,S91,Karol G
2023-07-29,64,Super Shy,NewJeans
2023-07-29,65,Enchanted (Taylor's Version),Taylor Swift
2023-07-29,66,Popular,"The Weeknd, Playboi Carti & Madonna"
2023-07-29,67,Shake Sumn,DaBaby
2023-07-29,68,Oh U Went,Young Thug Featuring Drake
2023-07-29,69,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
2023-07-29,70,Flooded The Face,Lil Uzi Vert
2023-07-29,71,Fragil,Yahritza y Su Esencia x Grupo Frontera
2023-07-29,72,Everything I Love,Morgan Wallen
2023-07-29,73,Cowgirls,Morgan Wallen Featuring ERNEST
2023-07-29,74,Bye,Peso Pluma
2023-07-29,75,Truck Bed,HARDY
2023-07-29,76,Back To December (Taylor's Version),Taylor Swift
2023-07-29,77,Rush,Troye Sivan
2023-07-29,78,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
2023-07-29,79,Luna,Peso Pluma & Junior H
2023-07-29,80,Por Las Noches,Peso Pluma
2023-07-29,81,Mine (Taylor's Version),Taylor Swift
2023-07-29,82,See You Again,"Tyler, The Creator Featuring Kali Uchis"
2023-07-29,83,Fight The Feeling,Rod Wave
2023-07-29,84,Save Me The Trouble,Dan + Shay
2023-07-29,85,Lagunas,Peso Pluma & Jasiel Nunez
2023-07-29,86,Turn Yo Clic Up,Quavo & Future
2023-07-29,87,El Azul,Junior H x Peso Pluma
2023-07-29,88,Jaded,Miley Cyrus
2023-07-29,89,Rubicon,Peso Pluma
2023-07-29,90,Ain't That Some,Morgan Wallen
2023-07-29,91,Save Me,Jelly Roll With Lainey Wilson
2023-07-29,92,Quema,Ryan Castro x Pe$o Pluma
2023-07-29,93,Angels Don't Always Have Wings,Thomas Rhett
2023-07-29,94,Mojabi Ghost,Tainy & Bad Bunny
2023-07-29,95,Sparks Fly (Taylor's Version),Taylor Swift
2023-07-29,96,Thang For You,Rylo Rodriguez Featuring NoCap
2023-07-29,97,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
2023-07-29,98,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie"
2023-07-29,99,Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj
2023-07-29,100,Girl In Mine,Parmalee
2023-08-05,1,Try That In A Small Town,Jason Aldean
2023-08-05,2,Last Night,Morgan Wallen
2023-08-05,3,Fast Car,Luke Combs
2023-08-05,4,Fukumean,Gunna
2023-08-05,5,Calm Down,Rema & Selena Gomez
2023-08-05,6,Cruel Summer,Taylor Swift
2023-08-05,7,K-POP,"Travis Scott, Bad Bunny & The Weeknd"
2023-08-05,8,Barbie World,Nicki Minaj & Ice Spice With Aqua
2023-08-05,9,Seven,Jung Kook Featuring Latto
2023-08-05,10,Vampire,Olivia Rodrigo
2023-08-05,11,Flowers,Miley Cyrus
2023-08-05,12,Dance The Night,Dua Lipa
2023-08-05,13,All My Life,Lil Durk Featuring J. Cole
2023-08-05,14,Snooze,SZA
2023-08-05,15,Karma,Taylor Swift Featuring Ice Spice
2023-08-05,16,Need A Favor,Jelly Roll
2023-08-05,17,Kill Bill,SZA
2023-08-05,18,What Was I Made For?,Billie Eilish
2023-08-05,19,Sure Thing,Miguel
2023-08-05,20,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
2023-08-05,21,Something In The Orange,Zach Bryan
2023-08-05,22,Anti-Hero,Taylor Swift
2023-08-05,23,Favorite Song,Toosii
2023-08-05,24,Religiously,Bailey Zimmerman
2023-08-05,25,Dial Drunk,Noah Kahan With Post Malone
2023-08-05,26,Die For You,The Weeknd & Ariana Grande
2023-08-05,27,Thinkin' Bout Me,Morgan Wallen
2023-08-05,28,Ella Baila Sola,Eslabon Armado X Peso Pluma
2023-08-05,29,Cupid,Fifty Fifty
2023-08-05,30,Next Thing You Know,Jordan Davis
2023-08-05,31,White Horse,Chris Stapleton
2023-08-05,32,La Bebe,Yng Lvcas x Peso Pluma
2023-08-05,33,I'm Good (Blue),David Guetta & Bebe Rexha
2023-08-05,34,Thought You Should Know,Morgan Wallen
2023-08-05,35,Search & Rescue,Drake
2023-08-05,36,Un x100to,Grupo Frontera X Bad Bunny
2023-08-05,37,Love You Anyway,Luke Combs
2023-08-05,38,Dancin' In The Country,Tyler Hubbard
2023-08-05,39,Bury Me In Georgia,Kane Brown
2023-08-05,40,Princess Diana,Ice Spice & Nicki Minaj
2023-08-05,41,Deli,Ice Spice
2023-08-05,42,Put It On Da Floor Again,Latto Featuring Cardi B
2023-08-05,43,Where She Goes,Bad Bunny
2023-08-05,44,Eyes Closed,Ed Sheeran
2023-08-05,45,I Can See You (Taylor's Version) (From The Vault),Taylor Swift
2023-08-05,46,Chemical,Post Malone
2023-08-05,47,Memory Lane,Old Dominion
2023-08-05,48,Super Shy,NewJeans
2023-08-05,49,LaLa,Myke Towers
2023-08-05,50,Sabor Fresa,Fuerza Regida
2023-08-05,51,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
2023-08-05,52,"You, Me, & Whiskey",Justin Moore & Priscilla Block
2023-08-05,53,Area Codes,Kaliii
2023-08-05,54,Your Heart Or Mine,Jon Pardi
2023-08-05,55,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray"
2023-08-05,56,Tulum,Peso Pluma & Grupo Frontera
2023-08-05,57,Peaches & Eggplants,Young Nudy Featuring 21 Savage
2023-08-05,58,What It Is (Block Boy),Doechii Featuring Kodak Black
2023-08-05,59,Daylight,David Kushner
2023-08-05,60,Mourning,Post Malone
2023-08-05,61,Watermelon Moonshine,Lainey Wilson
2023-08-05,62,Stand By Me,Lil Durk Featuring Morgan Wallen
2023-08-05,63,TQM,Fuerza Regida
2023-08-05,64,Heartbroken,"Diplo, Jessie Murph & Polo G"
2023-08-05,65,Shake Sumn,DaBaby
2023-08-05,66,Oh U Went,Young Thug Featuring Drake
2023-08-05,67,Everything I Love,Morgan Wallen
2023-08-05,68,Popular,"The Weeknd, Playboi Carti & Madonna"
2023-08-05,69,Truck Bed,HARDY
2023-08-05,70,Fragil,Yahritza y Su Esencia x Grupo Frontera
2023-08-05,71,ICU,Coco Jones
2023-08-05,72,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma
2023-08-05,73,Speed Drive,Charli XCX
2023-08-05,74,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj
2023-08-05,75,Bye,Peso Pluma
2023-08-05,76,Por Las Noches,Peso Pluma
2023-08-05,77,Lagunas,Peso Pluma & Jasiel Nunez
2023-08-05,78,Jaded,Miley Cyrus
2023-08-05,79,See You Again,"Tyler, The Creator Featuring Kali Uchis"
2023-08-05,80,Flooded The Face,Lil Uzi Vert
2023-08-05,81,ETA,NewJeans
2023-08-05,82,Luna,Peso Pluma & Junior H
2023-08-05,83,Rubicon,Peso Pluma
2023-08-05,84,Fight The Feeling,Rod Wave
2023-08-05,85,Angels Don't Always Have Wings,Thomas Rhett
2023-08-05,86,El Azul,Junior H x Peso Pluma
2023-08-05,87,I'm Just Ken,Ryan Gosling
2023-08-05,88,Rush,Troye Sivan
2023-08-05,89,Enchanted (Taylor's Version),Taylor Swift
2023-08-05,90,Oklahoma Smoke Show,Zach Bryan
2023-08-05,91,Thang For You,Rylo Rodriguez Featuring NoCap
2023-08-05,92,But I Got A Beer In My Hand,Luke Bryan
2023-08-05,93,Cool With You,NewJeans
2023-08-05,94,Ain't That Some,Morgan Wallen
2023-08-05,95,Girl In Mine,Parmalee
2023-08-05,96,Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
2023-08-05,97,Save Me,Jelly Roll With Lainey Wilson
2023-08-05,98,S91,Karol G
2023-08-05,99,Talibans II,Burna Boy & Byron Messia
2023-08-05,100,Equal Dirt,Rylo Rodriguez
